time,e11,e22,e33,e12,e13,e23,s11,s22,s33,s12,s13,s23
2021,-0.00995631,-0.00995631,0.02021,-1.11474e-14,-6.65909e-16,3.56199e-15,0,0,122.65,0,0,0
2031,-0.0100061,-0.0100061,0.02031,-1.12465e-14,-3.85316e-16,3.46957e-15,0,0,122.812,0,0,0
2041,-0.0100559,-0.0100559,0.02041,-1.11169e-14,-6.21427e-16,4.29962e-15,0,0,122.973,0,0,0
2051,-0.0101057,-0.0101057,0.02051,-1.13281e-14,-9.41629e-16,4.22398e-15,0,0,123.134,0,0,0
2061,-0.0101555,-0.0101555,0.02061,-1.10504e-14,-9.64435e-16,4.35555e-15,0,0,123.294,0,0,0
2070.67,-0.0102037,-0.0102037,0.0207067,-1.07436e-14,-7.91872e-16,4.12874e-15,0,0,123.454,0,0,0
2081,-0.0102551,-0.0102551,0.02081,-1.06415e-14,-8.4389e-16,3.99103e-15,0,0,123.616,0,0,0
2091,-0.0103049,-0.0103049,0.02091,-1.08274e-14,-5.19579e-16,4.25829e-15,0,0,123.776,0,0,0
2100.67,-0.0103531,-0.0103531,0.0210067,-1.05616e-14,-2.84959e-16,3.96064e-15,0,0,123.936,0,0,0
2111,-0.0104046,-0.0104046,0.02111,-1.18249e-14,-1.11361e-16,3.77812e-15,0,0,124.096,0,0,0
2120.92,-0.010454,-0.010454,0.0212092,-1.16959e-14,-1.40336e-16,3.71159e-15,0,0,124.256,0,0,0
2131,-0.0105042,-0.0105042,0.02131,-1.10243e-14,-3.53244e-16,3.9105e-15,0,0,124.416,0,0,0
2140.37,-0.0105508,-0.0105508,0.0214037,-1.05773e-14,-2.12824e-16,4.17627e-15,0,0,124.575,0,0,0
2151,-0.0106038,-0.0106038,0.02151,-1.09689e-14,2.60631e-18,4.27388e-15,0,0,124.736,0,0,0
2160.67,-0.0106519,-0.0106519,0.0216067,-1.08631e-14,2.74288e-16,4.03836e-15,0,0,124.898,0,0,0
2170.44,-0.0107006,-0.0107006,0.0217044,-1.1156e-14,7.14403e-16,3.99453e-15,0,0,125.057,0,0,0
2181,-0.0107532,-0.0107532,0.02181,-1.17758e-14,1.18582e-15,3.77798e-15,0,0,125.217,0,0,0
2190.68,-0.0108014,-0.0108014,0.0219068,-1.20212e-14,1.376e-15,3.68912e-15,0,0,125.377,0,0,0
2200.67,-0.0108511,-0.0108511,0.0220067,-1.1447e-14,1.40072e-15,3.80748e-15,0,0,125.535,0,0,0
2210.44,-0.0108998,-0.0108998,0.0221044,-1.14322e-14,1.13121e-15,3.81937e-15,0,0,125.694,0,0,0
2220.67,-0.0109508,-0.0109508,0.0222067,-1.13456e-14,1.28083e-15,3.60818e-15,0,0,125.855,0,0,0
